step,normalized_loss,lower_band,upper_band
2875,0.551679,0.528838,0.574521
2900,0.550997,0.528260,0.573733
2925,0.553156,0.530524,0.575788
2950,0.554731,0.532202,0.577259
2975,0.544849,0.522422,0.567275
3000,0.548528,0.526202,0.570854
3025,0.553281,0.531054,0.575507
3050,0.533325,0.511197,0.555454
3075,0.541716,0.519684,0.563748
3100,0.516485,0.494548,0.538421
3125,0.524598,0.502755,0.546441
3150,0.537362,0.515612,0.559112
3175,0.541789,0.520130,0.563447
3200,0.524380,0.502811,0.545948
3225,0.528093,0.506613,0.549573
3250,0.527258,0.505865,0.548652
3275,0.551426,0.530118,0.572733
3300,0.555934,0.534711,0.577157
3325,0.557028,0.535888,0.578169
3350,0.551686,0.530626,0.572745
3375,0.539698,0.518718,0.560677
3400,0.540425,0.519523,0.561326
3425,0.522509,0.501684,0.543334
3450,0.522513,0.501763,0.543263
3475,0.523847,0.503171,0.544523
3500,0.517440,0.496836,0.538044
3525,0.514109,0.493576,0.534642
3550,0.517600,0.497136,0.538064
3575,0.510677,0.490281,0.531074
3600,0.517383,0.497053,0.537713
3625,0.520506,0.500241,0.540771
3650,0.528341,0.508139,0.548543
3675,0.533781,0.513641,0.553922
3700,0.530459,0.510379,0.550539
3725,0.512511,0.492489,0.532532
3750,0.510205,0.490241,0.530170
3775,0.517234,0.497325,0.537143
3800,0.506386,0.486532,0.526240
3825,0.509491,0.489689,0.529292
3850,0.516611,0.496861,0.536361
3875,0.511956,0.492256,0.531656
3900,0.519501,0.499849,0.539152
3925,0.515711,0.496107,0.535315
3950,0.507536,0.487978,0.527094
3975,0.503449,0.483935,0.522963
4000,0.507955,0.488485,0.527426
4025,0.513733,0.494305,0.533162
4050,0.513801,0.494413,0.533189
4075,0.510095,0.490746,0.529444
4100,0.519098,0.499787,0.538408
4125,0.512447,0.493174,0.531721
4150,0.512295,0.493057,0.531533
4175,0.521526,0.502323,0.540730
4200,0.522498,0.503328,0.541668
4225,0.523173,0.504036,0.542311
4250,0.515235,0.496129,0.534342
4275,0.514632,0.495555,0.533708
4300,0.509402,0.490355,0.528449
4325,0.509989,0.490970,0.529008
4350,0.516268,0.497277,0.535260
4375,0.518101,0.499136,0.537067
4400,0.518291,0.499351,0.537231
4425,0.513829,0.494913,0.532744
4450,0.510020,0.491129,0.528912
4475,0.513697,0.494828,0.532566
4500,0.514735,0.495888,0.533581
4525,0.513741,0.494916,0.532567
4550,0.520187,0.501383,0.538992
4575,0.519990,0.501206,0.538775
4600,0.519995,0.501230,0.538760
4625,0.522985,0.504239,0.541730
4650,0.518380,0.499653,0.537108
4675,0.512721,0.494011,0.531431
4700,0.513360,0.494667,0.532052
4725,0.520872,0.502197,0.539548
4750,0.518744,0.500086,0.537403
4775,0.518761,0.500118,0.537403
4800,0.521472,0.502846,0.540098
4825,0.519630,0.501020,0.538241
4850,0.519202,0.500607,0.537798
4875,0.517993,0.499413,0.536573
4900,0.519011,0.500446,0.537576
4925,0.513719,0.495169,0.532269
4950,0.515803,0.497268,0.534339
4975,0.513846,0.495326,0.532367
5000,0.514968,0.496462,0.533474
5025,0.513344,0.494853,0.531835
5050,0.509096,0.490620,0.527572
5075,0.509590,0.491129,0.528052
5100,0.521429,0.502983,0.539875
5125,0.519720,0.501290,0.538151
5150,0.519626,0.501211,0.538041
5175,0.513476,0.495076,0.531876
5200,0.506132,0.487749,0.524516
5225,0.515152,0.496784,0.533519
5250,0.516256,0.497905,0.534607
5275,0.521604,0.503270,0.539939
5300,0.522364,0.504047,0.540681
5325,0.515626,0.497326,0.533925
5350,0.514174,0.495892,0.532455
5375,0.515245,0.496982,0.533507
5400,0.519866,0.501623,0.538110
5425,0.513205,0.494982,0.531429
5450,0.515074,0.496870,0.533278
5475,0.515188,0.497006,0.533371
5500,0.516907,0.498745,0.535069
5525,0.516891,0.498752,0.535031
5550,0.519643,0.501526,0.537760
5575,0.517877,0.499783,0.535970
5600,0.516189,0.498119,0.534259
5625,0.516079,0.498034,0.534124
5650,0.510501,0.492481,0.528521
5675,0.517068,0.499074,0.535061
5700,0.515758,0.497791,0.533725
5725,0.510175,0.492236,0.528114
5750,0.512162,0.494251,0.530073
5775,0.512492,0.494610,0.530374
5800,0.515020,0.497168,0.532872
5825,0.514541,0.496721,0.532362
5850,0.512600,0.494811,0.530389
5875,0.515088,0.497331,0.532845
5900,0.514382,0.496659,0.532106
5925,0.514367,0.496678,0.532056
5950,0.513219,0.495565,0.530873
5975,0.511153,0.493534,0.528771
6000,0.505800,0.488218,0.523382
6025,0.507775,0.490231,0.525319
6050,0.509469,0.491964,0.526975
6075,0.507413,0.489947,0.524880
6100,0.517046,0.499619,0.534472
6125,0.519608,0.502223,0.536994
6150,0.514676,0.497332,0.532019
6175,0.515764,0.498463,0.533065
6200,0.512332,0.495074,0.529589
6225,0.511716,0.494502,0.528929
6250,0.512080,0.494912,0.529249
6275,0.506282,0.489160,0.523404
6300,0.508166,0.491090,0.525242
6325,0.509245,0.492217,0.526274
6350,0.506564,0.489584,0.523545
6375,0.506154,0.489223,0.523086
6400,0.512233,0.495352,0.529115
6425,0.517421,0.500589,0.534252
6450,0.519290,0.502510,0.536071
6475,0.516036,0.499308,0.532765
6500,0.507577,0.490901,0.524254
6525,0.507370,0.490746,0.523994
6550,0.507149,0.490579,0.523719
6575,0.511784,0.495268,0.528300
6600,0.509540,0.493079,0.526001
6625,0.506482,0.490076,0.522888
6650,0.513403,0.497053,0.529753
6675,0.512207,0.495913,0.528501
6700,0.519571,0.503334,0.535808
6725,0.518023,0.501843,0.534203
6750,0.516037,0.499914,0.532160
6775,0.517328,0.501263,0.533393
6800,0.510117,0.494110,0.526123
6825,0.506750,0.490802,0.522699
6850,0.509907,0.494017,0.525796
6875,0.511640,0.495810,0.527470
6900,0.507179,0.491408,0.522950
6925,0.512494,0.496782,0.528206
6950,0.515825,0.500173,0.531477
6975,0.511047,0.495455,0.526639
7000,0.515564,0.500031,0.531096
7025,0.509964,0.494491,0.525436
7050,0.511306,0.495893,0.526719
7075,0.507929,0.492576,0.523282
7100,0.507224,0.491931,0.522518
7125,0.504678,0.489444,0.519911
7150,0.510236,0.495062,0.525409
7175,0.517259,0.502145,0.532373
7200,0.512048,0.496993,0.527103
7225,0.509431,0.494435,0.524427
7250,0.514815,0.499878,0.529752
7275,0.511171,0.496292,0.526049
7300,0.509615,0.494794,0.524435
7325,0.504912,0.490149,0.519674
7350,0.515247,0.500541,0.529952
7375,0.511930,0.497281,0.526578
7400,0.514581,0.499989,0.529173
7425,0.511155,0.496619,0.525690
7450,0.515387,0.500906,0.529867
7475,0.520237,0.505812,0.534662
7500,0.519754,0.505383,0.534125
7525,0.522914,0.508597,0.537231
7550,0.516081,0.501817,0.530345
7575,0.516157,0.501945,0.530368
7600,0.511878,0.497718,0.526038
7625,0.516759,0.502650,0.530867
7650,0.509131,0.495072,0.523190
7675,0.514997,0.500988,0.529006
7700,0.525469,0.511509,0.539430
7725,0.525011,0.511098,0.538924
7750,0.515480,0.501614,0.529346
7775,0.516472,0.502652,0.530293
7800,0.515432,0.501657,0.529207
7825,0.516718,0.502987,0.530449
7850,0.514448,0.500760,0.528136
7875,0.508267,0.494621,0.521913
7900,0.516154,0.502549,0.529759
7925,0.513681,0.500116,0.527245
7950,0.511338,0.497812,0.524863
7975,0.518815,0.505327,0.532303
8000,0.517445,0.503994,0.530896
8025,0.515147,0.501732,0.528562
8050,0.511986,0.498606,0.525367
8075,0.512974,0.499627,0.526321
8100,0.512003,0.498688,0.525318
8125,0.512464,0.499180,0.525747
8150,0.513439,0.500186,0.526693
8175,0.517346,0.504121,0.530570
8200,0.513115,0.499918,0.526312
8225,0.511476,0.498305,0.524646
8250,0.512798,0.499653,0.525943
8275,0.508516,0.495395,0.521637
8300,0.504740,0.491642,0.517838
8325,0.509140,0.496064,0.522217
8350,0.508333,0.495277,0.521389
8375,0.509897,0.496860,0.522933
8400,0.511210,0.498191,0.524228
8425,0.517330,0.504328,0.530331
8450,0.519734,0.506748,0.532720
8475,0.514515,0.501543,0.527487
8500,0.522888,0.509929,0.535846
8525,0.516793,0.503847,0.529739
8550,0.508060,0.495125,0.520996
8575,0.508786,0.495861,0.521712
8600,0.511941,0.499024,0.524858
8625,0.510402,0.497492,0.523311
8650,0.507981,0.495078,0.520885
8675,0.502644,0.489746,0.515542
8700,0.503761,0.490867,0.516655
8725,0.501236,0.488346,0.514127
8750,0.500954,0.488065,0.513843
8775,0.501240,0.488352,0.514128
8800,0.500831,0.487943,0.513719
8825,0.494779,0.481890,0.507668
8850,0.495054,0.482163,0.507946
8875,0.495146,0.482252,0.508041
8900,0.500286,0.487388,0.513185
8925,0.500583,0.487679,0.513487
8950,0.505654,0.492744,0.518563
8975,0.504917,0.492000,0.517833
9000,0.512578,0.499654,0.525503
9025,0.515576,0.502644,0.528509
9050,0.515974,0.503032,0.528915
9075,0.512992,0.500040,0.525944
9100,0.508446,0.495484,0.521409
9125,0.508468,0.495493,0.521442
9150,0.509312,0.496326,0.522299
9175,0.511414,0.498415,0.524413
9200,0.505917,0.492904,0.518929
9225,0.509708,0.496681,0.522734
9250,0.506255,0.493214,0.519296
9275,0.514749,0.501693,0.527805
9300,0.516238,0.503167,0.529310
9325,0.513806,0.500718,0.526894
9350,0.511197,0.498093,0.524301
9375,0.507432,0.494311,0.520553
9400,0.512352,0.499214,0.525490
9425,0.517022,0.503866,0.530177
9450,0.516886,0.503713,0.530059
9475,0.513434,0.500243,0.526625
9500,0.512902,0.499693,0.526111
9525,0.510985,0.497757,0.524212
9550,0.512180,0.498934,0.525426
9575,0.509239,0.495975,0.522504
9600,0.507411,0.494128,0.520694
9625,0.506443,0.493141,0.519744
9650,0.508532,0.495212,0.521852
9675,0.511476,0.498137,0.524815
9700,0.513982,0.500625,0.527339
9725,0.513300,0.499924,0.526676
9750,0.511634,0.498241,0.525028
9775,0.508854,0.495442,0.522266
9800,0.508255,0.494826,0.521685
9825,0.508234,0.494787,0.521681
9850,0.510796,0.497332,0.524260
9875,0.517329,0.503848,0.530810
9900,0.511669,0.498171,0.525167
9925,0.509800,0.496286,0.523314
9950,0.513594,0.500064,0.527123
9975,0.513261,0.499716,0.526805
10000,0.511214,0.497654,0.524773
