step,normalized_loss,lower_band,upper_band,trend
1150,0.818849,0.785067,0.852632,0.842768
1175,0.818445,0.784775,0.852116,0.839877
1200,0.815322,0.781764,0.848880,0.837006
1225,0.805875,0.772430,0.839321,0.834154
1250,0.822363,0.789030,0.855695,0.831323
1275,0.821290,0.788070,0.854509,0.828511
1300,0.830939,0.797834,0.864045,0.825718
1325,0.825179,0.792186,0.858171,0.822945
1350,0.812331,0.779452,0.845209,0.820191
1375,0.830889,0.798124,0.863653,0.817456
1400,0.804387,0.771737,0.837037,0.814741
1425,0.804772,0.772237,0.837308,0.812043
1450,0.800813,0.768393,0.833234,0.809365
1475,0.810387,0.778081,0.842692,0.806705
1500,0.804159,0.771969,0.836349,0.804063
1525,0.818391,0.786316,0.850465,0.801440
1550,0.808328,0.776369,0.840287,0.798835
1575,0.797626,0.765784,0.829469,0.796248
1600,0.790313,0.758587,0.822039,0.793679
1625,0.804490,0.772880,0.836099,0.791127
1650,0.790619,0.759127,0.822112,0.788594
1675,0.794587,0.763211,0.825962,0.786077
1700,0.798947,0.767689,0.830205,0.783579
1725,0.786214,0.755074,0.817355,0.781097
1750,0.780414,0.749391,0.811437,0.778633
1775,0.760406,0.729501,0.791311,0.776185
1800,0.758105,0.727318,0.788892,0.773755
1825,0.763638,0.732969,0.794307,0.771342
1850,0.754491,0.723941,0.785042,0.768945
1875,0.759465,0.729033,0.789896,0.766565
1900,0.752976,0.722663,0.783289,0.764201
1925,0.767543,0.737349,0.797737,0.761853
1950,0.773688,0.743613,0.803763,0.759522
1975,0.761826,0.731870,0.791782,0.757207
2000,0.778961,0.749125,0.808798,0.754908
2025,0.754882,0.725164,0.784599,0.752625
2050,0.750762,0.721164,0.780360,0.750358
2075,0.754768,0.725289,0.784247,0.748106
2100,0.742528,0.713169,0.771888,0.745870
2125,0.727349,0.698109,0.756589,0.743650
2150,0.709717,0.680596,0.738837,0.741444
2175,0.731138,0.702137,0.760139,0.739255
2200,0.725362,0.696480,0.754243,0.737080
2225,0.724204,0.695442,0.752967,0.734920
2250,0.714993,0.686350,0.743636,0.732775
2275,0.717175,0.688651,0.745699,0.730645
2300,0.723365,0.694960,0.751770,0.728530
2325,0.727583,0.699297,0.755869,0.726430
2350,0.761848,0.733680,0.790015,0.724344
2375,0.751666,0.723617,0.779714,0.722272
2400,0.757916,0.729986,0.785846,0.720215
2425,0.753628,0.725816,0.781440,0.718172
2450,0.742340,0.714646,0.770035,0.716143
2475,0.737357,0.709780,0.764934,0.714128
2500,0.732599,0.705140,0.760059,0.712127
2525,0.723055,0.695713,0.750398,0.710140
2550,0.704876,0.677650,0.732102,0.708167
2575,0.713708,0.686599,0.740817,0.706207
2600,0.709220,0.682227,0.736214,0.704261
2625,0.709211,0.682333,0.736089,0.702329
2650,0.689197,0.662434,0.715959,0.700409
2675,0.688692,0.662044,0.715340,0.698504
2700,0.677177,0.650644,0.703711,0.696611
2725,0.680800,0.654380,0.707220,0.694731
2750,0.685627,0.659321,0.711934,0.692864
2775,0.694977,0.668783,0.721171,0.691011
2800,0.688290,0.662208,0.714371,0.689170
2825,0.708347,0.682377,0.734318,0.687342
2850,0.704610,0.678750,0.730469,0.685526
2875,0.687055,0.661306,0.712804,0.683723
2900,0.673142,0.647503,0.698781,0.681933
2925,0.674844,0.649314,0.700375,0.680155
2950,0.667533,0.642111,0.692955,0.678389
2975,0.661027,0.635713,0.686342,0.676635
3000,0.662828,0.637621,0.688035,0.674894
3025,0.664621,0.639519,0.689722,0.672277
3050,0.645124,0.620128,0.670120,0.669683
3075,0.654439,0.629548,0.679331,0.667110
3100,0.659828,0.635040,0.684615,0.664560
3125,0.666934,0.642249,0.691619,0.662032
3150,0.663224,0.638641,0.687807,0.659525
3175,0.667604,0.643122,0.692086,0.657040
3200,0.648636,0.624255,0.673018,0.654576
3225,0.660071,0.635788,0.684353,0.652133
3250,0.671557,0.647373,0.695741,0.649711
3275,0.666165,0.642078,0.690251,0.647310
3300,0.661461,0.637471,0.685451,0.644929
3325,0.658556,0.634661,0.682450,0.642569
3350,0.642310,0.618510,0.666110,0.640229
3375,0.623537,0.599831,0.647243,0.637908
3400,0.628925,0.605311,0.652539,0.635607
3425,0.624832,0.601310,0.648355,0.633326
3450,0.630832,0.607400,0.654264,0.631064
3475,0.639935,0.616591,0.663278,0.628822
3500,0.636277,0.613022,0.659532,0.626598
3525,0.631553,0.608385,0.654721,0.624394
3550,0.634661,0.611579,0.657743,0.622208
3575,0.617583,0.594586,0.640580,0.620041
3600,0.618094,0.595180,0.641008,0.617891
3625,0.621760,0.598929,0.644591,0.615761
3650,0.604615,0.581865,0.627364,0.613648
3675,0.601302,0.578633,0.623972,0.611553
3700,0.609042,0.586451,0.631632,0.609476
3725,0.614833,0.592320,0.637346,0.607416
3750,0.619543,0.597107,0.641979,0.605373
3775,0.620456,0.598096,0.642817,0.603348
3800,0.624796,0.602510,0.647083,0.601340
3825,0.617468,0.595255,0.639682,0.599349
3850,0.606893,0.584752,0.629034,0.597375
3875,0.612837,0.590766,0.634908,0.595417
3900,0.619140,0.597139,0.641142,0.593476
3925,0.611408,0.589475,0.633342,0.591551
3950,0.601882,0.580016,0.623748,0.589642
3975,0.607980,0.586179,0.629780,0.587749
4000,0.606941,0.585205,0.628677,0.585872
4025,0.604650,0.582977,0.626322,0.584011
4050,0.607689,0.586079,0.629300,0.582165
4075,0.597972,0.576423,0.619521,0.580335
4100,0.592588,0.571098,0.614077,0.578520
4125,0.588456,0.567025,0.609887,0.576720
4150,0.581219,0.559845,0.602592,0.574935
4175,0.581498,0.560181,0.602816,0.573166
4200,0.582876,0.561614,0.604139,0.571411
4225,0.583001,0.561792,0.604210,0.569670
4250,0.563963,0.542807,0.585119,0.567944
4275,0.543957,0.522853,0.565062,0.566233
4300,0.566649,0.545595,0.587703,0.564536
4325,0.574109,0.553104,0.595114,0.562853
4350,0.566161,0.545204,0.587117,0.561184
4375,0.554130,0.533220,0.575040,0.559528
4400,0.552393,0.531529,0.573257,0.557887
4425,0.543634,0.522815,0.564454,0.556259
4450,0.540453,0.519678,0.561229,0.554645
4475,0.543205,0.522472,0.563938,0.553044
4500,0.550328,0.529637,0.571020,0.551456
4525,0.544266,0.523615,0.564917,0.549881
4550,0.542127,0.521515,0.562738,0.548320
4575,0.553652,0.533079,0.574225,0.546771
4600,0.548187,0.527652,0.568722,0.545235
4625,0.547403,0.526904,0.567901,0.543712
4650,0.547171,0.526708,0.567634,0.542202
4675,0.538883,0.518454,0.559311,0.540704
4700,0.537309,0.516915,0.557704,0.539218
4725,0.525183,0.504821,0.545545,0.537744
4750,0.515094,0.494764,0.535424,0.536283
4775,0.517453,0.497154,0.537752,0.534834
4800,0.521474,0.501206,0.541742,0.533396
4825,0.524157,0.503918,0.544395,0.531971
4850,0.514020,0.493810,0.534230,0.530557
4875,0.512988,0.492806,0.533170,0.529155
4900,0.520640,0.500485,0.540794,0.527764
4925,0.527031,0.506903,0.547159,0.526385
4950,0.530096,0.509994,0.550199,0.525017
4975,0.518652,0.498575,0.538729,0.523660
5000,0.517630,0.497578,0.537683,0.522314
5025,0.513341,0.493312,0.533369,0.520979
5050,0.521017,0.501011,0.541022,0.519656
5075,0.526295,0.506313,0.546278,0.518343
5100,0.515396,0.495435,0.535356,0.517041
5125,0.523693,0.503755,0.543632,0.515749
5150,0.517543,0.497625,0.537460,0.514468
5175,0.511946,0.492050,0.531843,0.513197
5200,0.516134,0.496257,0.536010,0.511937
5225,0.521852,0.501996,0.541708,0.510687
5250,0.518540,0.498703,0.538377,0.509448
5275,0.515731,0.495913,0.535548,0.508218
5300,0.520782,0.500983,0.540580,0.506998
5325,0.521822,0.502042,0.541602,0.505788
5350,0.516019,0.496257,0.535781,0.504589
5375,0.509468,0.489724,0.529212,0.503398
5400,0.513235,0.493509,0.532961,0.502218
5425,0.518539,0.498831,0.538248,0.501047
5450,0.506591,0.486900,0.526282,0.499885
5475,0.498289,0.478615,0.517962,0.498733
5500,0.487724,0.468067,0.507380,0.497591
5525,0.488007,0.468368,0.507647,0.496457
5550,0.489183,0.469561,0.508806,0.495333
5575,0.474953,0.455348,0.494559,0.494218
5600,0.469514,0.449925,0.489102,0.493112
5625,0.475902,0.456330,0.495473,0.492014
5650,0.483059,0.463504,0.502613,0.490926
5675,0.487428,0.467891,0.506966,0.489846
5700,0.492295,0.472775,0.511815,0.488776
5725,0.482754,0.463252,0.502257,0.487713
5750,0.487258,0.467773,0.506744,0.486660
5775,0.474499,0.455032,0.493967,0.485614
5800,0.477916,0.458466,0.497366,0.484578
5825,0.482873,0.463441,0.502304,0.483549
5850,0.479740,0.460326,0.499153,0.482529
5875,0.485076,0.465681,0.504471,0.481517
5900,0.491611,0.472235,0.510987,0.480513
5925,0.482372,0.463015,0.501729,0.479517
5950,0.484645,0.465307,0.503982,0.478529
5975,0.476321,0.457003,0.495639,0.477549
6000,0.472403,0.453105,0.491701,0.476577
6025,0.477945,0.458667,0.497222,0.475613
6050,0.483043,0.463786,0.502299,0.474656
6075,0.478144,0.458908,0.497379,0.473708
6100,0.483328,0.464114,0.502541,0.472766
6125,0.484477,0.465286,0.503668,0.471832
6150,0.482712,0.463543,0.501881,0.470906
6175,0.476258,0.457112,0.495403,0.469987
6200,0.472127,0.453005,0.491249,0.469076
6225,0.472079,0.452981,0.491176,0.468171
6250,0.471601,0.452528,0.490674,0.467274
6275,0.470642,0.451594,0.489690,0.466384
6300,0.464469,0.445447,0.483491,0.465501
6325,0.464176,0.445181,0.483172,0.464625
6350,0.466343,0.447374,0.485311,0.463756
6375,0.441986,0.423045,0.460926,0.462894
6400,0.447694,0.428782,0.466607,0.462039
6425,0.449437,0.430553,0.468321,0.461191
6450,0.450753,0.431898,0.469608,0.460349
6475,0.457423,0.438599,0.476248,0.459514
6500,0.459439,0.440646,0.478233,0.458686
6525,0.452304,0.433542,0.471067,0.457864
6550,0.458795,0.440064,0.477525,0.457049
6575,0.454421,0.435723,0.473119,0.456240
6600,0.446421,0.427756,0.465085,0.455438
6625,0.458979,0.440348,0.477609,0.454642
6650,0.457542,0.438946,0.476138,0.453852
6675,0.460424,0.441863,0.478984,0.453068
6700,0.447523,0.428998,0.466048,0.452291
6725,0.446563,0.428075,0.465051,0.451520
6750,0.453914,0.435463,0.472365,0.450755
6775,0.449072,0.430659,0.467485,0.449996
6800,0.446800,0.428426,0.465174,0.449243
6825,0.446775,0.428440,0.465110,0.448496
6850,0.455176,0.436881,0.473471,0.447754
6875,0.451229,0.432974,0.469483,0.447019
6900,0.445749,0.427536,0.463962,0.446289
6925,0.441870,0.423699,0.460041,0.445565
6950,0.440236,0.422108,0.458365,0.444847
6975,0.447450,0.429364,0.465535,0.444135
7000,0.447366,0.429324,0.465407,0.443428
7025,0.441336,0.423339,0.459333,0.442726
7050,0.443647,0.425695,0.461599,0.442030
7075,0.442811,0.424904,0.460717,0.441340
7100,0.438424,0.420564,0.456284,0.440655
7125,0.436524,0.418711,0.454337,0.439975
7150,0.440774,0.423009,0.458540,0.439301
7175,0.452503,0.434785,0.470220,0.438632
7200,0.449496,0.431827,0.467165,0.437968
7225,0.440504,0.422884,0.458124,0.437309
7250,0.450921,0.433351,0.468492,0.436656
7275,0.450202,0.432682,0.467722,0.436007
7300,0.446879,0.429409,0.464348,0.435364
7325,0.450457,0.433039,0.467876,0.434726
7350,0.450215,0.432848,0.467582,0.434092
7375,0.450111,0.432796,0.467426,0.433464
7400,0.445678,0.428415,0.462940,0.432841
7425,0.444211,0.427001,0.461421,0.432222
7450,0.440646,0.423489,0.457803,0.431608
7475,0.441421,0.424318,0.458524,0.430999
7500,0.444773,0.427724,0.461823,0.430395
7525,0.440150,0.423154,0.457145,0.429795
7550,0.431166,0.414225,0.448106,0.429200
7575,0.425116,0.408231,0.442002,0.428610
7600,0.423938,0.407107,0.440769,0.428024
7625,0.423852,0.407077,0.440627,0.427443
7650,0.426319,0.409599,0.443039,0.426866
7675,0.430863,0.414198,0.447527,0.426294
7700,0.426959,0.410351,0.443568,0.425726
7725,0.429744,0.413192,0.446296,0.425163
7750,0.419727,0.403231,0.436222,0.424604
7775,0.419927,0.403487,0.436367,0.424049
7800,0.423667,0.407284,0.440050,0.423499
7825,0.424045,0.407718,0.440372,0.422953
7850,0.428178,0.411908,0.444449,0.422411
7875,0.428699,0.412485,0.444912,0.421873
7900,0.415667,0.399510,0.431824,0.421340
7925,0.426120,0.410019,0.442220,0.420810
7950,0.413500,0.397455,0.429544,0.420285
7975,0.409294,0.393306,0.425282,0.419764
8000,0.409916,0.393984,0.425848,0.419246
8025,0.421315,0.405439,0.437191,0.419339
8050,0.415316,0.399496,0.431136,0.419430
8075,0.416955,0.401191,0.432719,0.419520
8100,0.417737,0.402029,0.433446,0.419606
8125,0.422212,0.406558,0.437865,0.419689
8150,0.420819,0.405221,0.436417,0.419766
8175,0.423542,0.407999,0.439086,0.419838
8200,0.416339,0.400850,0.431828,0.419904
8225,0.419879,0.404444,0.435314,0.419962
8250,0.416288,0.400907,0.431669,0.420012
8275,0.420184,0.404856,0.435512,0.420054
8300,0.420114,0.404840,0.435389,0.420087
8325,0.414520,0.399297,0.429742,0.420111
8350,0.418730,0.403560,0.433900,0.420125
8375,0.420798,0.405680,0.435917,0.420130
8400,0.419575,0.404507,0.434642,0.420125
8425,0.417242,0.402225,0.432259,0.420110
8450,0.412036,0.397069,0.427003,0.420085
8475,0.411546,0.396629,0.426463,0.420052
8500,0.407971,0.393103,0.422840,0.420009
8525,0.406241,0.391421,0.421061,0.419958
8550,0.412063,0.397291,0.426835,0.419899
8575,0.409266,0.394541,0.423991,0.419832
8600,0.414969,0.400290,0.429648,0.419759
8625,0.411997,0.397364,0.426629,0.419680
8650,0.418032,0.403444,0.432620,0.419596
8675,0.419154,0.404611,0.433698,0.419508
8700,0.416769,0.402269,0.431269,0.419417
8725,0.412634,0.398177,0.427091,0.419324
8750,0.417573,0.403158,0.431987,0.419229
8775,0.412207,0.397833,0.426580,0.419135
8800,0.413170,0.398837,0.427503,0.419041
8825,0.417799,0.403505,0.432092,0.418949
8850,0.418212,0.403957,0.432466,0.418860
8875,0.420652,0.406436,0.434869,0.418774
8900,0.425133,0.410954,0.439312,0.418694
8925,0.415233,0.401090,0.429376,0.418619
8950,0.420265,0.406158,0.434373,0.418550
8975,0.417488,0.403415,0.431561,0.418489
9000,0.415008,0.400969,0.429048,0.418435
9025,0.411085,0.397078,0.425092,0.418390
9050,0.418203,0.404228,0.432178,0.418353
9075,0.416240,0.402296,0.430185,0.418326
9100,0.422106,0.408192,0.436021,0.418308
9125,0.420901,0.407015,0.434786,0.418300
9150,0.420977,0.407120,0.434834,0.418301
9175,0.418340,0.404510,0.432171,0.418312
9200,0.421463,0.407659,0.435267,0.418333
9225,0.415281,0.401502,0.429060,0.418364
9250,0.415362,0.401608,0.429117,0.418403
9275,0.418421,0.404689,0.432153,0.418451
9300,0.410893,0.397184,0.424602,0.418507
9325,0.413753,0.400065,0.427442,0.418570
9350,0.417294,0.403626,0.430962,0.418640
9375,0.417599,0.403950,0.431247,0.418716
9400,0.414361,0.400731,0.427991,0.418797
9425,0.419076,0.405463,0.432689,0.418883
9450,0.419804,0.406207,0.433400,0.418972
9475,0.417614,0.404033,0.431195,0.419063
9500,0.421053,0.407486,0.434619,0.419155
9525,0.420393,0.406840,0.433945,0.419248
9550,0.416439,0.402899,0.429980,0.419340
9575,0.427195,0.413666,0.440724,0.419430
9600,0.425228,0.411710,0.438746,0.419518
9625,0.427728,0.414220,0.441236,0.419602
9650,0.418976,0.405476,0.432475,0.419681
9675,0.417093,0.403601,0.430584,0.419755
9700,0.419826,0.406341,0.433310,0.419823
9725,0.421365,0.407886,0.434843,0.419884
9750,0.416593,0.403120,0.430066,0.419937
9775,0.412381,0.398912,0.425850,0.419982
9800,0.417691,0.404226,0.431156,0.420018
9825,0.419422,0.405959,0.432884,0.420045
9850,0.422957,0.409497,0.436418,0.420062
9875,0.422095,0.408635,0.435554,0.420070
9900,0.421287,0.407828,0.434747,0.420068
9925,0.423028,0.409568,0.436488,0.420057
9950,0.423894,0.410433,0.437356,0.420036
9975,0.420163,0.406700,0.433626,0.420005
10000,0.416530,0.403065,0.429996,0.419965
